trunk,tree_id,sapwood_depth_cm
1,1001,12.19476237
2,1002,13.67202281
3,1003,13.68779236
4,1009,13.94631524
5,1010,16.73712208
6,80,16.26824846
7,78,11.77128595
8,198,8.914282047
9,96,13.58740111
10,95,15.79376473
11,94,13.90219571
12,82,13.40927083
13,81,7.595829021
14,183,7.85470213
15,91,12.24452987
16,90,6.890029033
17,89,8.132828311
18,1012,14.99903777
19,1013,16.30195097
20,1014,16.18548177
21,100,7.132832597
22,99,12.1430116
23,98,12.79140717
24,149,13.17878238
25,87,11.55569198
26,85,8.636641789
27,1015,14.32491496
28,1016,13.60774047
29,1004,11.91832915
30,1005,9.82640511
31,1006,7.713566933
32,1007,9.150675527
33,1008,15.02627624
