tree_id,perimeter_cm,DBH_cm,convex_hull_perimeter_cm,measured_swd_cm,convexity,predicted_swd_cm,deepest_concave_depth_cm,concave_depth_over_dbh
1001,140.2335877,44.29028828,139.1420443,16.79,0.992216248,12.19476237,1.429115372,0.032267014
1002,206.9898166,62.23714808,195.5237672,14.77,0.944605732,13.67202281,8.409346115,0.135117793
1003,199.6856913,62.46356975,196.2350918,9.87,0.982719846,13.68779236,5.411920203,0.086641225
1009,209.2516907,66.29514672,208.2723459,13.32,0.995319776,13.94631524,1.447129044,0.021828582
1010,506.0343968,126.0639781,396.0416675,22.22,0.78263784,16.73712208,59.89712589,0.47513276
80,523.5912299,113.1615385,355.5074579,13.92,0.678979016,16.26824846,38.26914484,0.338181553
78,134.8403343,40.1750594,126.2136715,13.54,0.936023127,11.77128595,9.23455181,0.229857826
198,65.41095994,20.80783388,65.36973805,7.96,0.999369801,8.914282047,0.34714487,0.016683374
96,196.2035891,61.03608187,191.7505064,9.6,0.977303765,13.58740111,4.047586622,0.066314654
95,324.6119272,101.4484952,318.7098471,16.26,0.981818043,15.79376473,7.508908653,0.074016955
94,207.1886258,65.62500225,206.167025,22.93,0.995069224,13.90219571,1.573373331,0.023975212
82,184.7342164,58.58302507,184.0440012,20.29,0.996263739,13.40927083,0.630014599,0.010754218
81,48.28059746,15.3591812,48.25229081,9.04,0.999413705,7.595829021,0.358370332,0.023332646
183,51.29285225,16.30264331,51.21626445,8.11,0.998506852,7.85470213,0.39264719,0.024084879
91,141.0511259,44.80079983,140.7458636,20.26,0.997835804,12.24452987,0.882036139,0.019687955
90,41.03156361,13.05511901,41.01386599,6.64,0.999568683,6.890029033,0.363528307,0.027845653
89,54.6197701,17.38094934,54.60386274,7.06,0.999708762,8.132828311,0.340617039,0.019597148
1012,293.2280155,84.48211398,265.4083886,9.59,0.9051263,14.99903777,13.25543653,0.156902283
1013,413.2552457,114.0432115,358.2773155,10.16,0.866963745,16.30195097,22.78136112,0.199760782
1014,474.3814205,111.025139,348.795761,,0.73526438,16.18548177,29.16269998,0.262667539
100,43.3877514,13.8058668,43.3724097,,0.999646405,7.132832597,0.322836356,0.023383998
99,140.081908,43.76560133,137.4936916,,0.98152355,12.1430116,3.66480628,0.08373714
98,159.8260956,50.81349878,159.6353145,10.9,0.99880632,12.79140717,0.471810878,0.009285148
149,186.191964,55.55467211,174.5301498,,0.937366716,13.17878238,5.444431788,0.098001331
87,120.7718611,38.22917466,120.1004943,,0.994441033,11.55569198,2.370281993,0.062001914
85,61.37656728,19.51910958,61.32109126,,0.999096137,8.636641789,0.386388102,0.019795375
1015,235.6980639,72.33451707,227.2455874,,0.964138541,14.32491496,10.58187774,0.146290847
1016,227.8806844,61.32263267,192.6507323,,0.845401763,13.60774047,24.93107399,0.406555833
1004,131.3574614,41.55873823,130.5606267,8.67,0.993933845,11.91832915,1.909869321,0.045955902
1005,80.72388753,25.67133898,80.64888995,7.29,0.999070937,9.82640511,0.546455132,0.021286585
1006,49.61024971,15.78131037,49.57844872,4.43,0.999358983,7.713566933,0.325108214,0.020600838
1007,69.13863184,21.97195199,69.02692296,9.33,0.998384277,9.150675527,0.667821656,0.03039428
1008,270.6759571,85.0136963,267.0784038,11.38,0.986709003,15.02627624,5.227093288,0.061485308
